Date,INRPYLDP Index
2001-04-27,6.75
2001-05-24,6.75
2001-05-28,6.5
2001-10-01,6.5
2001-10-18,8.5
2002-03-05,6.0
2002-06-27,5.75
2002-10-30,5.5
2003-03-03,5.0
2003-08-25,4.5
2004-10-26,4.75
2005-04-29,6.0
2005-10-26,6.25
2006-01-24,6.5
2006-07-25,7.0
2006-10-31,7.25
2007-01-31,7.5
2007-03-30,7.75
2007-04-24,7.75
2007-08-01,7.75
2007-10-30,7.75
2008-01-29,7.75
2008-04-29,7.75
2008-06-11,8.0
2008-06-24,8.5
2008-07-29,9.0
2008-10-20,8.0
2008-10-24,8.0
2008-11-03,7.5
2008-12-08,6.5
2009-01-02,5.5
2009-01-27,5.5
2009-03-04,5.0
2009-04-21,4.75
2009-07-28,4.75
2009-10-27,4.75
2010-01-29,4.75
2010-03-19,5.0
2010-04-20,5.25
2010-07-02,5.5
2010-07-27,5.75
2010-09-16,6.0
2010-11-02,6.25
2010-12-16,6.25
2011-01-25,6.5
2011-03-17,6.75
2011-05-03,7.25
2011-06-16,7.5
2011-07-26,8.0
2011-09-16,8.25
2011-10-25,8.5
2011-12-16,8.5
2012-01-13,8.5
2012-01-24,8.5
2012-02-10,8.5
2012-03-15,8.5
2012-04-17,8.0
2012-06-18,8.0
2012-07-31,8.0
2012-09-17,8.0
2012-10-30,8.0
2012-12-18,8.0
2013-01-29,7.75
2013-03-19,7.5
2013-05-03,7.25
2013-06-17,7.25
2013-07-30,7.25
2013-09-20,7.5
2013-10-29,7.75
2013-12-18,7.75
2014-01-28,8.0
2014-04-01,8.0
2014-06-03,8.0
2014-08-05,8.0
2014-09-30,8.0
2014-12-02,8.0
2015-01-15,7.75
2015-02-03,7.75
2015-03-04,7.5
2015-04-07,7.5
2015-06-02,7.25
2015-08-04,7.25
2015-09-29,6.75
2015-12-01,6.75
2016-02-02,6.75
2016-04-05,6.5
2016-06-07,6.5
2016-08-09,6.5
2016-10-04,6.25
2016-12-07,6.25
2017-02-08,6.25
2017-04-06,6.25
2017-06-07,6.25
2017-08-02,6.0
2017-10-04,6.0
2017-12-06,6.0
2018-02-07,6.0
2018-04-05,6.0
2018-06-06,6.25
2018-08-01,6.5
2018-10-05,6.5
2018-12-05,6.5
2019-02-07,6.25
2019-04-04,6.0
2019-06-06,5.75
2019-08-07,5.4
2019-10-04,5.15
2019-12-05,5.15
2020-02-06,5.15
2020-03-27,4.4
2020-05-22,4.0
2020-08-06,4.0
2020-10-09,4.0
2020-12-04,4.0
2021-02-05,4.0
2021-04-07,4.0
2021-06-04,4.0
2021-08-06,4.0
2021-10-08,4.0
2021-12-08,4.0
2022-02-10,4.0
2022-04-08,4.0
2022-05-04,4.4
2022-06-08,4.9
2022-08-05,5.4
2022-09-30,5.9
2022-12-07,6.25
2023-02-08,6.5
2023-04-06,6.5
2023-06-08,6.5
2023-08-10,6.5
2023-10-06,6.5
2023-12-08,6.5
2024-02-08,6.5
2024-04-05,6.5
2024-06-07,6.5
2024-08-08,6.5
2024-10-09,6.5
2024-12-06,6.5
2025-02-07,6.25
2025-04-09,6.0
2025-06-06,5.5
2025-08-06,5.5
2025-10-01,5.5
