Date,NIFTY Index - Price to Book Ratio
2002-09-30,2.1957
2002-12-31,2.4947
2003-03-31,2.2017
2003-06-30,2.3306
2003-09-30,2.783
2003-12-31,3.6491
2004-03-31,3.4421
2004-06-30,2.8185
2004-09-30,2.9839
2004-12-31,3.3924
2005-03-31,0.2379
2005-06-30,3.2594
2005-09-30,3.7198
2005-12-31,4.1245
2006-03-31,4.8611
2006-06-30,3.203
2006-09-30,3.8193
2006-12-31,4.3404
2007-03-31,4.1076
2007-06-30,2.9804
2007-09-30,4.5139
2007-12-31,5.488
2008-03-31,4.1021
2008-06-30,3.2539
2008-09-30,3.1859
2008-12-31,2.4459
2009-03-31,2.5629
2009-06-30,2.7427
2009-09-30,3.3359
2009-12-31,3.4479
2010-03-31,3.546
2010-06-30,3.0519
2010-09-30,3.4634
2010-12-31,3.5206
2011-03-31,3.3368
2011-06-30,2.917
2011-09-30,2.5343
2011-12-31,2.3607
2012-03-31,2.7041
2012-06-30,2.3391
2012-09-30,2.5174
2012-12-31,2.6584
2013-03-31,2.6166
2013-06-30,2.4691
2013-09-30,2.4241
2013-12-31,2.6396
2014-03-31,2.7103
2014-06-30,2.7518
2014-09-30,2.9283
2014-12-31,2.9974
2015-03-31,3.0687
2015-06-30,2.9047
2015-09-30,2.7576
2015-12-31,2.8258
2016-03-31,2.6789
2016-06-30,2.694
2016-09-30,2.7995
2016-12-31,2.7551
2017-03-31,3.0896
2017-06-30,2.8275
2017-09-30,2.9792
2017-12-31,3.1843
2018-03-31,3.0
2018-06-30,2.9181
2018-09-30,3.0012
2018-12-31,2.9976
2019-03-31,3.1479
2019-06-30,2.9203
2019-09-30,2.8164
2019-12-31,2.994
2020-03-31,2.1137
2020-06-30,2.4417
2020-09-30,2.6705
2020-12-31,3.1808
2021-03-31,3.5003
2021-06-30,3.2846
2021-09-30,3.6704
2021-12-31,3.5406
2022-03-31,3.5315
2022-06-30,2.9749
2022-09-30,3.183
2022-12-31,3.3564
2023-03-31,3.1813
2023-06-30,3.2942
2023-09-30,3.3989
2023-12-31,3.646
2024-03-31,3.7321
2024-06-30,3.6525
2024-09-30,3.904
2024-12-31,3.5193
2025-03-31,3.4785
2025-06-30,3.5073
2025-09-30,3.3196
2025-11-14,3.5129
