,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-636.4488620933924,-957.6668857142859,86496393333.3333,-24.775238095238073
MonthlyPrice_.NIFMDCP100,-1010.7089971937546,-1352.8428428571428,109177816904.76181,30.59904761904764
MonthlyPrice_.NIFSMCP100,-1368.1451966394368,-176.99248000000028,64002909428.57141,469.87042857142865
LogReturn_.NSEI,0.003915316769267667,-0.17461048557616274,-28902011.950292177,-0.055290148624442585
LogReturn_.NIFMDCP100,0.011334453429237484,-0.21910126598584145,-31266766.748773903,-0.07089479060307816
LogReturn_.NIFSMCP100,-0.0017025987590703405,-0.27284374219561974,-28378266.99718498,-0.0877527801685463
Return3m_.NSEI,-0.04036705566291438,-0.5069325417215456,-30614345.849184643,-0.1533020471159518
Return3m_.NIFMDCP100,-0.0194436882874074,-0.6454153560481438,-38902765.07388844,-0.20292833895972515
Return3m_.NIFSMCP100,-0.06588455466017583,-0.7342694351812501,-36119413.41362457,-0.22996636896681202
Return6m_.NSEI,-0.024809854786183926,-0.8790246899105024,-17694271.828052677,-0.24278780474112774
Return6m_.NIFMDCP100,0.050897600449559856,-1.1017538838682976,-13349303.32388108,-0.3217396541399229
Return6m_.NIFSMCP100,0.00942890495267993,-1.2207714915877625,7509586.936387179,-0.34927977966872764
Return12m_.NSEI,-0.19381950538372034,-0.41819949725646793,-6335004.607680673,-0.055847931354563285
Return12m_.NIFMDCP100,-0.17426001938113464,-0.5419436643098196,-10681274.828768024,-0.08740980474593511
Return12m_.NIFSMCP100,-0.29225876100431003,-0.3943977138068337,-21485785.080091268,-0.011461157720110499
Drawdown3m_.NSEI,-0.002125974634417627,-0.15818356084914703,-11410695.478305854,-0.04822544783157615
Drawdown3m_.NIFMDCP100,0.004354228729667734,-0.2048417619114375,-18492175.063530855,-0.06290564639225987
Drawdown3m_.NIFSMCP100,-0.011212256859929768,-0.2449178886148869,-18441089.006171823,-0.07489806236538556
Drawdown6m_.NSEI,-0.044732126666734484,-0.3002394029233388,-27163305.848611355,-0.07632634717217544
Drawdown6m_.NIFMDCP100,-0.03798363452358663,-0.37091233940306867,-42944329.40990935,-0.09883495913953874
Drawdown6m_.NIFSMCP100,-0.07518316760292272,-0.4255800704328523,-39796918.161433086,-0.10647704872350705
Drawdown12m_.NSEI,-0.09962588227903657,-0.3540595428697664,-17475673.38631443,-0.07243319961273725
Drawdown12m_.NIFMDCP100,-0.10299213929964555,-0.4395229657891711,-32778726.72775,-0.09166072127127459
Drawdown12m_.NIFSMCP100,-0.14702968703908403,-0.3969062913870048,-30109774.874212023,-0.059286481753777966
SemiStd3m_.NSEI,0.014675051776478546,0.124958344321423,6234867.655156672,0.0351466184972935
SemiStd3m_.NIFMDCP100,0.0035900156706445948,0.16506877168615489,12001342.754279977,0.050715836037469875
SemiStd3m_.NIFSMCP100,0.025053701690551333,0.1880887479375745,10848438.743900735,0.05556757074076713
SemiStd6m_.NSEI,0.024430502228114465,0.09781118806778388,6101030.463343574,0.0211936087941319
SemiStd6m_.NIFMDCP100,0.015148422995010843,0.12504792821814723,11527559.607452488,0.030424433136086407
SemiStd6m_.NIFSMCP100,0.03870536014150096,0.13106375891897726,10259481.94736073,0.0263275782759807
SemiStd12m_.NSEI,0.03594416664539799,0.0106909943681463,6276632.2854772,-0.01021209083966425
SemiStd12m_.NIFMDCP100,0.04339957993126969,0.0232959181302016,10533044.847786892,-0.01025408664400946
SemiStd12m_.NIFSMCP100,0.06959151451165256,-0.006082336497962285,12995036.237109575,-0.026706393757530787
