,Gold,Silver,Crude,BTC
MonthlyPrice_.NSEI,1442878.7588373946,15470.580004315121,-13458.425054621848,73734938.76477434
MonthlyPrice_.NIFMDCP100,4988435.015122689,53450.374124109236,-44093.14530462186,265625779.59280968
MonthlyPrice_.NIFSMCP100,1457317.8417172264,15499.057637260497,-12194.498144957981,82736715.54252395
LogReturn_.NSEI,-0.49338118179757007,-0.0021892145229993254,-0.004884282889076304,-96.62943394876412
LogReturn_.NIFMDCP100,-3.6955975599934554,-0.0319220807907449,0.018662197290522233,-330.8535701734233
LogReturn_.NIFSMCP100,-6.316372769248996,-0.06205803601166955,0.05754101071510309,-495.7336826026111
Return3m_.NSEI,-3.762402610068733,-0.04269439468408112,0.0010268548084268936,-297.2757712284311
Return3m_.NIFMDCP100,-16.99423312894667,-0.1754101003472621,0.1595673018581901,-912.6733018657503
Return3m_.NIFSMCP100,-24.56982404482804,-0.2579319977734315,0.25442704058328663,-1214.5432158183203
Return6m_.NSEI,-10.711648694952869,-0.07919359262007292,0.21657521020448875,-409.4915037413952
Return6m_.NIFMDCP100,-34.74512357250287,-0.2997179560957104,0.5759565967952786,-1569.7140611005175
Return6m_.NIFSMCP100,-48.23327427760204,-0.432718732791025,0.7824250444849116,-2132.852792003628
Return12m_.NSEI,-24.96023340842193,-0.272689852658097,0.28399005981943926,-715.2838932719895
Return12m_.NIFMDCP100,-70.8832582116334,-0.754679315355047,0.9336649709262504,-2188.8032313586805
Return12m_.NIFSMCP100,-85.93706582718467,-0.9186984340655211,1.267637749765586,-2328.175669455715
Drawdown3m_.NSEI,0.20544660113738414,0.004780702426660244,0.002683054586730496,-49.31779648514933
Drawdown3m_.NIFMDCP100,-3.1363486714174575,-0.022363480371268216,0.033400174963373656,-240.0686520889199
Drawdown3m_.NIFSMCP100,-4.707853005720468,-0.03700175260422394,0.0405177596420748,-339.95558696795246
Drawdown6m_.NSEI,-0.15716715722425642,0.007305477329030347,0.014542330211755685,-119.87264004793153
Drawdown6m_.NIFMDCP100,-6.287841762648178,-0.04335516560183701,0.07522037692757186,-410.9536474156004
Drawdown6m_.NIFSMCP100,-13.903133481274944,-0.11922891940504086,0.15882810651663976,-662.44767617085
Drawdown12m_.NSEI,-3.807569503847187,-0.01410880866803051,0.06870376235321214,-276.5659692967605
Drawdown12m_.NIFMDCP100,-9.437717748654133,-0.061448021691301966,0.12061235238813252,-551.1280859859069
Drawdown12m_.NIFSMCP100,-13.967990379940494,-0.1105830940719987,0.1699152223988771,-636.7285824813897
SemiStd3m_.NSEI,0.9193363971781539,0.00303555235752812,-0.015868273099312196,62.14339944413393
SemiStd3m_.NIFMDCP100,4.375049016991342,0.03161035703073701,-0.058293120534388794,243.52903899543472
SemiStd3m_.NIFSMCP100,6.439626663090277,0.05371203606371404,-0.06322427751760745,336.65048591755755
SemiStd6m_.NSEI,1.5773971807608094,0.0072882401829154845,-0.03227675286937666,89.93484097616026
SemiStd6m_.NIFMDCP100,6.183195249895263,0.04589732154998718,-0.08574672401314475,334.46142457756014
SemiStd6m_.NIFSMCP100,9.11799019363799,0.0780349505251131,-0.11127364041849516,437.0323537918369
SemiStd12m_.NSEI,1.7511299880148463,0.016752209094450476,-0.026208041233920037,58.65975530247388
SemiStd12m_.NIFMDCP100,6.510782344321228,0.06675746432067102,-0.07746045367026261,254.4977644591445
SemiStd12m_.NIFSMCP100,7.953820918609622,0.08460320749876862,-0.0939556646378226,270.1975486351064
